YEAR,MONTH,DISTRICT,LAT,LON,Prep,AvgTemp,MaxTemp,Humidity,WindSpeed,Brightness,Confidence,ThermalData,FRP,Fire_Count
2012,1,arghakhanchi,27.9,83.2,36.46,12.78,19.09,51.21,2.23,0.0,0.0,0.0,0.0,0.0
2012,2,arghakhanchi,27.9,83.2,10.93,16.4,23.9,39.39,2.85,0.0,0.0,0.0,0.0,0.0
2012,3,arghakhanchi,27.9,83.2,17.71,20.72,28.99,28.13,3.04,0.0,0.0,0.0,0.0,0.0
2012,4,arghakhanchi,27.9,83.2,14.04,26.91,34.38,27.54,3.61,317.0857142857143,61.74285714285714,302.0857142857143,384.8,35.0
2012,5,arghakhanchi,27.9,83.2,7.53,30.94,38.31,19.34,3.14,315.40909090909093,55.72727272727273,300.6727272727273,160.5,11.0
2012,6,arghakhanchi,27.9,83.2,71.2,32.26,38.69,34.73,3.14,315.1,91.0,293.4,15.6,1.0
2012,7,arghakhanchi,27.9,83.2,422.26,26.72,30.22,80.56,2.5,0.0,0.0,0.0,0.0,0.0
2012,8,arghakhanchi,27.9,83.2,326.18,25.5,28.8,84.98,2.25,0.0,0.0,0.0,0.0,0.0
2012,9,arghakhanchi,27.9,83.2,493.01,24.17,27.51,86.41,2.08,0.0,0.0,0.0,0.0,0.0
2012,10,arghakhanchi,27.9,83.2,39.75,20.68,25.11,77.63,1.68,0.0,0.0,0.0,0.0,0.0
2012,11,arghakhanchi,27.9,83.2,2.39,16.51,22.23,61.83,1.84,0.0,0.0,0.0,0.0,0.0
2012,12,arghakhanchi,27.9,83.2,0.05,13.56,20.22,52.16,2.02,0.0,0.0,0.0,0.0,0.0
2013,1,arghakhanchi,27.9,83.2,26.59,11.59,18.44,49.85,2.09,305.35,45.0,293.1,15.3,2.0
2013,2,arghakhanchi,27.9,83.2,62.35,15.98,22.88,53.77,2.74,0.0,0.0,0.0,0.0,0.0
2013,3,arghakhanchi,27.9,83.2,6.93,21.9,29.72,38.12,3.27,0.0,0.0,0.0,0.0,0.0
2013,4,arghakhanchi,27.9,83.2,28.27,26.08,33.44,32.74,3.44,323.4,40.0,312.5,14.0,2.0
2013,5,arghakhanchi,27.9,83.2,83.65,28.88,36.15,30.59,2.69,0.0,0.0,0.0,0.0,0.0
2013,6,arghakhanchi,27.9,83.2,605.95,27.0,31.12,70.12,2.52,0.0,0.0,0.0,0.0,0.0
2013,7,arghakhanchi,27.9,83.2,406.63,25.69,28.74,86.76,2.29,0.0,0.0,0.0,0.0,0.0
2013,8,arghakhanchi,27.9,83.2,365.3,25.18,28.19,86.85,2.18,0.0,0.0,0.0,0.0,0.0
2013,9,arghakhanchi,27.9,83.2,168.97,24.77,28.18,85.54,1.97,0.0,0.0,0.0,0.0,0.0
2013,10,arghakhanchi,27.9,83.2,198.03,21.76,25.6,83.01,1.87,0.0,0.0,0.0,0.0,0.0
2013,11,arghakhanchi,27.9,83.2,5.62,17.71,23.14,66.61,1.78,0.0,0.0,0.0,0.0,0.0
2013,12,arghakhanchi,27.9,83.2,1.87,14.63,20.58,61.74,1.88,0.0,0.0,0.0,0.0,0.0
2014,1,arghakhanchi,27.9,83.2,22.23,13.7,20.23,55.44,2.22,0.0,0.0,0.0,0.0,0.0
2014,2,arghakhanchi,27.9,83.2,33.16,15.38,22.13,50.53,2.65,0.0,0.0,0.0,0.0,0.0
2014,3,arghakhanchi,27.9,83.2,9.01,20.92,28.26,39.8,3.05,0.0,0.0,0.0,0.0,0.0
2014,4,arghakhanchi,27.9,83.2,13.27,26.84,34.7,25.5,3.32,311.8565217391304,52.82608695652174,297.504347826087,189.9,23.0
2014,5,arghakhanchi,27.9,83.2,75.89,29.62,36.52,32.6,3.32,320.2142857142857,68.57142857142857,301.4238095238095,477.7,21.0
2014,6,arghakhanchi,27.9,83.2,293.28,30.82,36.46,46.51,2.56,0.0,0.0,0.0,0.0,0.0
2014,7,arghakhanchi,27.9,83.2,379.8,27.04,30.31,79.17,2.27,0.0,0.0,0.0,0.0,0.0
2014,8,arghakhanchi,27.9,83.2,483.98,25.91,28.94,85.24,2.35,0.0,0.0,0.0,0.0,0.0
2014,9,arghakhanchi,27.9,83.2,236.81,24.36,27.82,84.81,2.16,0.0,0.0,0.0,0.0,0.0
2014,10,arghakhanchi,27.9,83.2,124.38,21.47,25.9,74.3,1.92,0.0,0.0,0.0,0.0,0.0
2014,11,arghakhanchi,27.9,83.2,0.0,17.97,23.79,57.05,1.85,0.0,0.0,0.0,0.0,0.0
2014,12,arghakhanchi,27.9,83.2,19.87,14.26,20.54,50.47,1.89,0.0,0.0,0.0,0.0,0.0
2015,1,arghakhanchi,27.9,83.2,44.14,13.45,20.0,54.55,2.16,0.0,0.0,0.0,0.0,0.0
2015,2,arghakhanchi,27.9,83.2,13.11,17.25,24.16,46.46,2.44,0.0,0.0,0.0,0.0,0.0
2015,3,arghakhanchi,27.9,83.2,109.69,20.48,27.27,49.53,2.94,319.1,74.0,295.4,24.0,1.0
2015,4,arghakhanchi,27.9,83.2,61.6,24.62,31.05,45.17,2.77,0.0,0.0,0.0,0.0,0.0
2015,5,arghakhanchi,27.9,83.2,52.39,29.57,36.77,32.51,2.83,0.0,0.0,0.0,0.0,0.0
2015,6,arghakhanchi,27.9,83.2,266.2,30.34,35.86,47.76,2.58,317.325,58.0,302.3,38.3,4.0
2015,7,arghakhanchi,27.9,83.2,349.13,26.71,30.5,79.6,2.9,0.0,0.0,0.0,0.0,0.0
2015,8,arghakhanchi,27.9,83.2,438.1,25.95,29.16,85.06,2.26,0.0,0.0,0.0,0.0,0.0
2015,9,arghakhanchi,27.9,83.2,76.52,25.04,28.95,78.73,2.12,0.0,0.0,0.0,0.0,0.0
2015,10,arghakhanchi,27.9,83.2,34.89,22.99,28.59,57.0,1.9,0.0,0.0,0.0,0.0,0.0
2015,11,arghakhanchi,27.9,83.2,0.4,19.88,26.06,48.65,1.97,0.0,0.0,0.0,0.0,0.0
2015,12,arghakhanchi,27.9,83.2,0.26,15.05,21.84,43.14,2.04,0.0,0.0,0.0,0.0,0.0
2016,1,arghakhanchi,27.9,83.2,5.06,14.01,21.19,36.41,2.24,0.0,0.0,0.0,0.0,0.0
2016,2,arghakhanchi,27.9,83.2,5.55,18.48,26.6,28.31,2.93,0.0,0.0,0.0,0.0,0.0
2016,3,arghakhanchi,27.9,83.2,25.54,23.26,31.17,27.83,3.13,319.475,56.875,303.575,79.4,8.0
