YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count,LAT,LON
2012,1,bardiya,313.65,74.0,291.35,96.6,2,28.45,81.3
2012,1,chitawan,317.7285714285714,67.14285714285714,292.45714285714286,221.0,7,27.7,84.4
2012,1,dolpa,314.4875,55.25,292.15,179.0,8,29.0,82.9
2012,1,gorkha,314.3,60.6,288.98,345.5,5,28.0,84.6
2012,1,jajarkot,303.6333333333333,32.333333333333336,288.1,30.1,3,,
2012,1,jumla,302.1,25.0,291.2,8.8,1,29.3,82.2
2012,1,kalikot,337.6666666666667,78.66666666666667,292.1,254.6,3,,
2012,1,kanchanpur,313.53043478260867,64.73913043478261,293.0521739130435,756.5,23,29.0,80.2
2012,1,kapilbastu,305.56666666666666,51.0,292.40000000000003,15.5,3,,
2012,1,makawanpur,300.3,13.0,289.3,2.7,1,,
2012,1,mugu,301.9,49.0,280.2,9.9,1,29.5,82.1
2012,1,myagdi,309.75,49.0,291.9,36.3,2,28.4,83.6
2012,1,nawalparasi,306.8,64.0,292.8,6.0,1,27.6,84.0
2012,1,rautahat,303.4,55.5,292.05,7.7,2,,
2012,1,rukum,314.35,51.75,286.6,170.60000000000002,4,28.65,82.35
2012,1,saptari,327.1166666666667,74.5,296.46666666666664,349.7,6,26.6,86.8
2012,1,sindhupalchok,305.2,22.0,292.9,6.6,1,,
2012,1,sunsari,321.15,54.75,297.475,72.5,4,26.75,87.3
2012,1,tanahu,300.3,29.0,286.9,3.5,1,,
2012,2,baglung,310.6,46.333333333333336,293.06666666666666,30.7,3,28.3,83.6
2012,2,bajhang,311.75,33.5,293.54999999999995,25.8,2,,
2012,2,bajura,315.1333333333333,67.33333333333333,287.90000000000003,205.3,3,,
2012,2,bardiya,312.32,53.4,298.04,50.4,5,28.45,81.3
2012,2,bhojpur,301.7,20.0,286.4,10.8,1,,
2012,2,chitawan,320.2684210526316,62.92105263157895,298.91052631578947,1003.0,38,27.7,84.4
2012,2,darchula,311.825,56.25,291.2,49.4,4,29.9,80.6
2012,2,dhankuta,314.56,62.8,298.9,61.7,5,27.0,87.3
2012,2,dolpa,323.975,46.75,305.0,112.4,4,29.0,82.9
2012,2,gorkha,317.90000000000003,50.0,286.62857142857143,203.1,7,28.0,84.6
2012,2,humla,316.5,40.0,294.7,15.2,1,30.0,81.8
2012,2,jhapa,310.7,51.66666666666666,295.3333333333333,35.4,3,26.7,87.9
2012,2,kabhrepalanchok,300.4,0.0,286.3,8.6,1,,
2012,2,kailali,306.5,41.0,294.4,10.8,1,28.7,80.8
2012,2,kanchanpur,323.5421052631579,77.26315789473684,296.4894736842105,1817.8,19,29.0,80.2
2012,2,kaski,303.7,48.0,286.7,6.2,1,28.2,83.9
2012,2,lamjung,313.65,63.0,298.70000000000005,57.7,2,28.3,84.4
2012,2,makawanpur,324.3333333333333,78.33333333333333,303.8,62.1,3,,
2012,2,morang,312.9,66.0,296.3,16.0,1,26.5,87.3
2012,2,mugu,300.3,29.0,288.3,6.7,1,29.5,82.1
2012,2,nawalparasi,314.15,65.5,300.3,16.0,2,27.6,84.0
2012,2,okhaldhunga,307.5,36.0,294.15,15.1,2,27.3,86.5
2012,2,palpa,307.0,64.5,291.95000000000005,20.6,2,27.9,83.5
2012,2,panchthar,314.53333333333336,59.0,290.1111111111111,160.6,9,,
2012,2,parsa,309.16,58.4,294.86,74.1,5,,
2012,2,pyuthan,309.55,43.5,297.35,13.6,2,,
2012,2,rautahat,318.4,73.0,302.5,65.8,1,,
2012,2,rukum,313.7,42.0,300.6,14.4,1,28.65,82.35
