latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.4264,83.7981,306.8,1,1,2012-01-05,0746,Aqua,MODIS,64,6.2,292.8,6,D,0
28.9443,82.426,301.2,1,1,2012-01-06,0517,Terra,MODIS,24,6.2,279.2,7,D,0
26.6661,87.0083,316.2,1,1,2012-01-07,0733,Aqua,MODIS,75,6.2,298.4,9.8,D,0
27.0503,85.2129,302.5,1,1,2012-01-14,0739,Aqua,MODIS,53,6.2,292,3.3,D,0
26.6823,86.9868,309.6,1.1,1.1,2012-01-14,0739,Aqua,MODIS,67,6.2,294.3,6.6,D,0
27.0489,85.2028,304.3,1,1,2012-01-14,0739,Aqua,MODIS,58,6.2,292.1,4.4,D,0
29.9625,80.6589,314.4,1.2,1.1,2012-01-14,0740,Aqua,MODIS,75,6.2,285.5,20.1,D,0
29.5629,82.0053,301.9,1.1,1,2012-01-14,0740,Aqua,MODIS,49,6.2,280.2,9.9,D,0
29.9602,80.6452,318.8,1.2,1.1,2012-01-14,0740,Aqua,MODIS,79,6.2,286.6,25.5,D,0
26.6545,86.9724,312.1,1,1,2012-01-16,0727,Aqua,MODIS,69,6.2,296.4,7.1,D,0
26.6217,86.9993,311.8,1,1,2012-01-16,0727,Aqua,MODIS,25,6.2,294,5.4,D,0
26.6127,87.001,348.1,1,1,2012-01-16,0727,Aqua,MODIS,72,6.2,300.9,53.5,D,0
26.6991,87.0196,308.5,1,1,2012-01-16,0727,Aqua,MODIS,47,6.2,296.6,3.8,D,0
26.6856,86.9912,313.8,1,1,2012-01-16,0727,Aqua,MODIS,70,6.2,296.6,7.1,D,0
28.9821,82.6099,313.2,1.9,1.3,2012-01-17,0811,Aqua,MODIS,34,6.2,292,29.1,D,0
28.9781,82.6229,320,1.9,1.3,2012-01-17,0811,Aqua,MODIS,70,6.2,291.5,46.6,D,0
28.9837,82.6256,315.8,1.9,1.3,2012-01-17,0811,Aqua,MODIS,55,6.2,291,33.6,D,0
26.6374,86.9736,332.7,1.3,1.2,2012-01-18,0715,Aqua,MODIS,88,6.2,298.5,41.7,D,0
26.6397,86.9869,386.5,1.3,1.1,2012-01-18,0715,Aqua,MODIS,100,6.2,299.6,273.2,D,0
27.5418,82.9099,304,1.2,1.1,2012-01-19,0758,Aqua,MODIS,36,6.2,290.9,5.1,D,0
27.5432,84.4549,340.3,1.5,1.2,2012-01-19,0758,Aqua,MODIS,92,6.2,293.5,74.4,D,0
27.5486,84.4625,336.7,1.5,1.2,2012-01-19,0758,Aqua,MODIS,90,6.2,293.1,64.9,D,0
