brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
306.8,1.0,1.0,2012-01-05,746,Aqua,MODIS,64,6.2,292.8,6.0,D,0,3543.0,Lumbini,5.0,NAWALPARASI_W,Ramgram,10.4378
301.2,1.0,1.0,2012-01-06,517,Terra,MODIS,24,6.2,279.2,7.0,D,0,653.0,Karnali,6.0,JAJARKOT,"Dhime-1,Batule wa Archhani-8,Dharapani",30.1941
316.2,1.0,1.0,2012-01-07,733,Aqua,MODIS,75,6.2,298.4,9.8,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
302.5,1.0,1.0,2012-01-14,739,Aqua,MODIS,53,6.2,292.0,3.3,D,0,4028.0,Madhesh,2.0,RAUTAHAT,,6.5277
309.6,1.1,1.1,2012-01-14,739,Aqua,MODIS,67,6.2,294.3,6.6,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
304.3,1.0,1.0,2012-01-14,739,Aqua,MODIS,58,6.2,292.1,4.4,D,0,4028.0,Madhesh,2.0,RAUTAHAT,,6.5277
314.4,1.2,1.1,2012-01-14,740,Aqua,MODIS,75,6.2,285.5,20.1,D,0,,,,,,
301.9,1.1,1.0,2012-01-14,740,Aqua,MODIS,49,6.2,280.2,9.9,D,0,1054.0,Karnali,6.0,MUGU,Sorukot,14.6451
318.8,1.2,1.1,2012-01-14,740,Aqua,MODIS,79,6.2,286.6,25.5,D,0,,,,,,
312.1,1.0,1.0,2012-01-16,727,Aqua,MODIS,69,6.2,296.4,7.1,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
311.8,1.0,1.0,2012-01-16,727,Aqua,MODIS,25,6.2,294.0,5.4,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
348.1,1.0,1.0,2012-01-16,727,Aqua,MODIS,72,6.2,300.9,53.5,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
308.5,1.0,1.0,2012-01-16,727,Aqua,MODIS,47,6.2,296.6,3.8,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
313.8,1.0,1.0,2012-01-16,727,Aqua,MODIS,70,6.2,296.6,7.1,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
313.2,1.9,1.3,2012-01-17,811,Aqua,MODIS,34,6.2,292.0,29.1,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
320.0,1.9,1.3,2012-01-17,811,Aqua,MODIS,70,6.2,291.5,46.6,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
315.8,1.9,1.3,2012-01-17,811,Aqua,MODIS,55,6.2,291.0,33.6,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
332.7,1.3,1.2,2012-01-18,715,Aqua,MODIS,88,6.2,298.5,41.7,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
386.5,1.3,1.1,2012-01-18,715,Aqua,MODIS,100,6.2,299.6,273.2,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
304.0,1.2,1.1,2012-01-19,758,Aqua,MODIS,36,6.2,290.9,5.1,D,0,2023.0,Lumbini,5.0,KAPILBASTU,Krishnanagar Nagarpalika Office,9.5394
340.3,1.5,1.2,2012-01-19,758,Aqua,MODIS,92,6.2,293.5,74.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
336.7,1.5,1.2,2012-01-19,758,Aqua,MODIS,90,6.2,293.1,64.9,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
323.5,1.5,1.2,2012-01-19,758,Aqua,MODIS,82,6.2,293.2,35.1,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
312.8,1.5,1.2,2012-01-19,758,Aqua,MODIS,61,6.2,292.3,15.9,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
304.0,1.2,1.1,2012-01-19,758,Aqua,MODIS,54,6.2,289.5,4.5,D,0,2023.0,Lumbini,5.0,KAPILBASTU,Krishnanagar Nagarpalika Office,9.5394
308.0,2.2,1.4,2012-01-20,702,Aqua,MODIS,53,6.2,293.4,14.0,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
322.9,1.0,1.0,2012-01-21,746,Aqua,MODIS,80,6.2,300.4,20.3,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
304.4,1.0,1.0,2012-01-21,746,Aqua,MODIS,47,6.2,288.6,8.6,D,0,790.0,Karnali,6.0,KALIKOT,Manma,37.2507
316.7,1.0,1.0,2012-01-21,746,Aqua,MODIS,61,6.2,291.9,14.1,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
317.4,2.6,1.6,2012-01-23,600,Terra,MODIS,78,6.2,291.2,62.0,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
302.7,2.7,1.6,2012-01-23,600,Terra,MODIS,53,6.2,291.0,20.9,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
301.2,2.7,1.6,2012-01-23,600,Terra,MODIS,45,6.2,290.5,17.7,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
300.3,1.1,1.0,2012-01-23,733,Aqua,MODIS,29,6.2,286.9,3.5,D,0,2441.0,Gandaki,4.0,TANAHU,Damauli,33.3328
300.3,1.0,1.0,2012-01-23,733,Aqua,MODIS,13,6.2,289.3,2.7,D,0,2299.0,Bagmati,3.0,MAKAWANPUR,Kalikatar,17.1192
307.9,1.7,1.3,2012-01-23,734,Aqua,MODIS,65,6.2,293.7,14.6,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
